class,x1,x2,x3,x4
0,0.549004033,0.827706899,0.666601919,0.598530065
1,0.990204934,0.407057339,0.129966024,0.94899148
2,0.400624642,0.89698551,0.722064225,0.104712557
2,0.66743384,0.410811828,0.186432415,0.043286675
0,0.643694503,0.717874062,0.414443048,0.911552691
0,0.824894299,0.736898547,0.448399446,0.261860772
0,0.913869454,0.928290702,0.445809816,0.97824059
0,0.988967812,0.100410573,0.502710861,0.225458521
0,0.499809809,0.889992757,0.814918957,0.503227311
0,0.507523379,0.095220339,0.224130347,0.096044672
1,0.211951141,0.542968367,0.203240709,0.675630058
1,0.143514625,0.477628662,0.787468558,0.483727441
1,0.857026513,0.92007178,0.507569618,0.212682551
1,0.110333327,0.073711563,0.402013725,0.390897523
2,0.800930889,0.324152703,0.139889225,0.407884832
2,0.762800048,0.697578578,0.21841116,0.595445852
0,0.108317218,0.90485791,0.497061608,0.219513967
1,0.361325523,0.835320931,0.789349255,0.77386303
2,0.722851578,0.853198818,0.154409805,0.035404228
2,0.898809517,0.901520435,0.764481412,0.440271209
0,0.197651279,0.565202041,0.148567519,0.041464556
0,0.742440628,0.232893375,0.110865585,0.600837313
0,0.624153421,0.427444666,0.717986941,0.611675549
0,0.342933797,0.737883379,0.261314459,0.748981651
0,0.226433192,0.857320358,0.871050899,0.234139523
0,0.170736683,0.601543647,0.378343403,0.545936658
1,0.065199894,0.8257785,0.225249181,0.766189935
1,0.175758267,0.015065568,0.665292774,0.946616799
1,0.544763475,0.331265239,0.023600003,0.389107511
1,0.376342887,0.604143133,0.118569509,0.240305767
2,0.734557869,0.199082152,0.809517568,0.951831027
2,0.563531488,0.169122744,0.152974701,0.080408447
0,0.344341207,0.635444284,0.206225597,0.620866306
1,0.819961333,0.698539642,0.934794556,0.887180763
2,0.663833334,0.867898029,0.587671269,0.908118587
2,0.047452052,0.431681908,0.439018953,0.118249685
0,0.725461883,0.806285331,0.13689171,0.679177947
0,0.258265052,0.89909524,0.957795934,0.110721441
0,0.491264802,0.313574032,0.327561166,0.356027854
0,0.901783499,0.335512219,0.155644627,0.711640761
0,0.315431214,0.688743487,0.549643961,0.218159309
0,0.642235568,0.85031193,0.142497447,0.322647121
1,0.392710552,0.936013066,0.134953923,0.309701801
1,0.897513004,0.869034748,0.286606591,0.764543717
1,0.426166758,0.140056401,0.639047961,0.235928679
1,0.345178876,0.724221837,0.076001871,0.922338279
2,0.500836241,0.152415775,0.516413502,0.103372692
2,0.035139473,0.808997155,0.967492947,0.450641825
0,0.053734307,0.14782057,0.578294069,0.562787036
1,0.966506647,0.272241943,0.015190304,0.094333333
2,0.855220314,0.844076946,0.575912714,0.167883884
2,0.154544411,0.7720124,0.347308531,0.248571761
0,0.686383984,0.957237901,0.122792002,0.801358357
0,0.911534824,0.368678434,0.135417064,0.198264541
0,0.982260954,0.162757243,0.732573985,0.413371768
0,0.08331608,0.811063734,0.764953511,0.429432115
0,0.169308426,0.393636762,0.775895542,0.132204992
0,0.908927535,0.140286462,0.400040652,0.189797843
1,0.777300937,0.755624877,0.971071865,0.601977414
1,0.33175094,0.890051089,0.716827921,0.307030726
1,0.378391048,0.379509108,0.145672791,0.688796439
1,0.59475482,0.924811323,0.217551384,0.150533189
2,0.731201569,0.06873267,0.573178061,0.184425487
2,0.987677581,0.737294137,0.717444069,0.452318687
